Code,BX,BY,Width,Height,Page
LIN_4-51,224,344,1064,236,0715
LIN_4-52,226,542,1052,296,0715
LIN_4-53,198,826,1130,404,0715
LIN_4-54,208,1182,1088,428,0715
LIN_4-55,184,3703,1250,362,0715
LIN_4-56,218,1566,1104,392,0715
LIN_4-57,216,1880,1124,512,0715
LIN_4-58,246,2354,1130,284,0715
LIN_4-59,226,2592,1120,442,0715
LIN_4-60,244,2986,1106,200,0715
LIN_4-61,216,3180,1106,376,0715
LIN_4-62,250,3514,1068,212,0715
LIN_4-63,260,3682,1094,128,0715
LIN_4-63,1470,354,1038,192,0715
LIN_4-64,1462,526,1114,188,0715
LIN_4-65,1430,720,1162,382,0715
LIN_4-66,1484,1060,1114,272,0715
LIN_4-67,1458,1308,1224,330,0715
LIN_4-68,1492,1616,1112,270,0715
LIN_4-69,1432,1882,1212,456,0715
LIN_4-70,1526,2314,1036,164,0715
LIN_4-71,1512,2442,1164,296,0715
LIN_4-72,1454,2746,1232,428,0715
LIN_4-73,1498,3152,1158,264,0715
LIN_4-74,1502,3392,1130,320,0715
LIN_4-75,1508,3684,1066,138,0715
