Code,BX,BY,Width,Height,Page,
LIN_C1,172,412,1236,456.00,0680,
LIN_C2,226,680,1218,370.00,0680,
LIN_C3,250,1028,1180,646,0680,
LIN_C4,234,1630,1164,940,0680,
LIN_C5,202,2524,1176,162,0680,
LIN_C6,224,2662,1146,160,0680,
LIN_C7,224,2784,1144,278,0680,
LIN_C8,202,3000,1224,200,0680,
LIN_C9,196,3154,1218,120,0680,
LIN_C10,196,3218,1196,194,0680,
LIN_C11,220,3356,1192,558,0680,
LIN_C12,1502,344,1096,670,0680,
LIN_C13,1482,974,1116,192,0680,
LIN_C14,1478,1128,1060,568,0680,
LIN_C15,1468,1656,1056,144,0680,
LIN_C16,1490,1790,1162,600,0680,
LIN_C17,1482,2358,1130,150,0680,
LIN_C18,1488,2474,1114,214,0680,
LIN_C19,1496,2668,1122,242,0680,
LIN_C20,1514,2864,1130,952,0680,
LIN_C21,1499,3789,1173,147,0680,
