Code,BX,BY,Width,Height,Page
LIN_29-16,184,260,1082,212,0800
LIN_29-17,178,408,1114,202,0800
LIN_29-18,180,560,1088,314,0800
LIN_29-19,188,858,1128,224,0800
LIN_29-20,188,1042,1182,184,0800
LIN_29-21,210,1196,1054,188,0800
LIN_29-22,196,1336,1128,430,0800
LIN_29-23,200,1724,1102,210,0800
LIN_29-24,202,1888,1138,196,0800
LIN_29-25,198,1972,1150,188,0800
LIN_29-26,212,2124,1100,176,0800
LIN_29-27,210,2262,1102,274,0800
LIN_29-28,132,2472,1302,526,0800
LIN_29-29,220,2860,1220,448,0800
LIN_29-30,224,3176,1176,358,0800
LIN_29-31,222,3424,792,178,0800
LIN_29-32,196,3516,1226,174,0800
LIN_29-33,210,3644,1226,164,0800
LIN_29-34,170,3734,1284,226,0800
LIN_30-1,1346,308,1246,494,0800
LIN_30-2,1484,702,1096,276,0800
LIN_30-3,1480,936,1162,368,0800
LIN_30-4,1472,1254,1150,208,0800
LIN_30-5,1458,1422,1166,260,0800
LIN_30-6,1488,1644,1124,332,0800
LIN_30-7,1500,1950,1140,254,0800
LIN_30-8,1500,2182,1152,208,0800
LIN_30-9,1504,2338,1184,352,0800
LIN_30-11,1516,2646,1104,200,0800
LIN_30-12,1526,2790,1346,340,0800
LIN_30-13,1518,3100,1120,208,0800
LIN_30-14,1510,3262,1204,210,0800
LIN_30-14,2844,3318,184,294,0800
LIN_30-15,1530,3340,1182,200,0800
LIN_30-16,1530,3502,1154,176,0800
LIN_30-10,1398,3658,1338,214,0800
